Date,Close/Last,Volume,Open,High,Low
12/26/2023,$130.73,863998,$129.74,$130.82,$129.23
12/22/2023,$129.74,1371487,$130.15,$131.3636,$129.19
12/21/2023,$129.64,3203327,$128.89,$130.6275,$128.63
12/20/2023,$127.73,2780409,$131.68,$132.1399,$127.73
12/19/2023,$131.52,2663239,$129.57,$132.06,$129.22
12/18/2023,$129.98,2630737,$130.08,$130.87,$129.595
12/15/2023,$129.68,5016580,$128.37,$129.95,$127.50
12/14/2023,$129.20,6375731,$126.77,$130.145,$126.68
12/13/2023,$125.09,3871410,$121.00,$125.21,$120.07
12/12/2023,$120.29,3666368,$118.52,$121.058,$118.52
12/11/2023,$118.81,3138230,$117.73,$119.67,$117.125
12/08/2023,$118.09,3024938,$115.50,$118.55,$114.89
12/07/2023,$115.38,3674996,$114.06,$115.93,$113.424
12/06/2023,$113.77,2480056,$117.27,$118.09,$113.49
12/05/2023,$115.32,3572618,$114.44,$116.31,$113.6702
12/04/2023,$114.94,3594024,$112.99,$116.02,$112.64
12/01/2023,$113.93,3422261,$111.34,$115.14,$111.34
11/30/2023,$111.66,2439315,$110.80,$111.97,$110.18
11/29/2023,$110.13,2087529,$109.18,$111.56,$109.18
11/28/2023,$108.58,1874580,$106.37,$109.05,$106.14
11/27/2023,$106.18,1556795,$105.70,$106.61,$105.425
11/24/2023,$106.57,524055,$107.08,$107.36,$106.23
11/22/2023,$106.77,1342790,$106.40,$107.065,$105.3865
11/21/2023,$105.78,1545347,$106.81,$107.25,$105.595
11/20/2023,$107.15,2255839,$107.55,$107.66,$106.43
11/17/2023,$107.68,2309668,$105.86,$107.68,$105.025
11/16/2023,$105.01,2825121,$106.45,$106.57,$104.21
11/15/2023,$106.00,3303823,$107.28,$107.54,$105.51
11/14/2023,$107.01,3213717,$106.93,$108.13,$106.755
11/13/2023,$104.37,3010121,$104.04,$106.06,$103.79
11/10/2023,$104.58,2504101,$104.00,$104.628,$102.63
11/09/2023,$104.49,1801963,$105.76,$106.02,$103.99
11/08/2023,$105.08,2054027,$105.00,$105.85,$104.32
11/07/2023,$105.01,2009736,$104.84,$105.74,$104.44
11/06/2023,$105.45,2340742,$106.10,$106.92,$104.64
11/03/2023,$106.32,3376702,$105.87,$108.13,$105.865
11/02/2023,$104.65,3287129,$102.00,$104.93,$101.38
11/01/2023,$100.27,2186007,$101.65,$101.72,$99.37
10/31/2023,$101.29,2619288,$100.88,$101.83,$99.82
10/30/2023,$100.54,3923639,$98.62,$101.26,$98.42
10/27/2023,$97.74,6534076,$96.49,$99.77,$96.155
10/26/2023,$89.51,3549698,$89.41,$91.09,$89.08
10/25/2023,$88.97,2369600,$88.60,$90.13,$88.23
10/24/2023,$89.20,2597577,$90.71,$91.32,$88.83
10/23/2023,$90.38,1834458,$90.06,$91.77,$89.50
10/20/2023,$90.23,2483692,$92.40,$92.86,$89.74
10/19/2023,$92.70,3480087,$94.51,$95.18,$92.31
10/18/2023,$95.93,1575139,$97.04,$97.57,$95.585
10/17/2023,$98.04,2113797,$95.91,$99.26,$95.91
10/16/2023,$97.15,1645676,$96.41,$97.51,$95.54
10/13/2023,$95.20,2246106,$97.70,$98.23,$94.57
10/12/2023,$96.91,1846989,$97.71,$97.88,$95.44
10/11/2023,$97.12,1486810,$97.00,$98.59,$95.85
10/10/2023,$96.98,2468039,$95.23,$98.285,$95.23
10/09/2023,$94.33,2244014,$92.59,$94.88,$92.3725
10/06/2023,$93.54,2314899,$91.35,$94.455,$91.02
10/05/2023,$92.11,2275872,$91.85,$92.52,$90.88
10/04/2023,$92.61,2518499,$93.28,$93.59,$91.79
10/03/2023,$93.05,2191842,$94.07,$94.52,$92.53
10/02/2023,$95.12,2997762,$96.87,$97.50,$94.65
09/29/2023,$97.05,1859307,$97.69,$98.65,$96.59
09/28/2023,$97.01,1840693,$95.45,$97.09,$95.07
09/27/2023,$95.49,2417839,$97.51,$97.55,$94.72
09/26/2023,$97.10,2132187,$97.00,$98.59,$96.1725
09/25/2023,$97.88,1599203,$97.65,$98.70,$97.02
09/22/2023,$98.27,2089364,$98.85,$99.08,$97.61
09/21/2023,$98.93,1667812,$100.15,$100.51,$98.89
09/20/2023,$100.56,1441795,$102.49,$103.29,$100.30
09/19/2023,$101.69,1388883,$102.58,$102.97,$101.64
09/18/2023,$102.58,1479168,$103.89,$103.97,$102.11
09/15/2023,$104.46,4096965,$101.92,$104.61,$101.23
09/14/2023,$102.26,1848416,$101.40,$102.6551,$101.40
09/13/2023,$100.34,1802997,$101.74,$101.97,$99.36
09/12/2023,$101.05,2670721,$99.73,$101.81,$99.03
09/11/2023,$100.03,1820115,$100.88,$101.74,$99.85
09/08/2023,$99.92,2431946,$99.88,$100.05,$98.73
09/07/2023,$99.92,2138069,$100.63,$100.90,$99.66
09/06/2023,$101.46,2229564,$101.07,$101.69,$99.5389
09/05/2023,$101.74,1976194,$103.07,$103.775,$101.51
09/01/2023,$103.50,1556842,$103.16,$104.49,$103.16
08/31/2023,$102.39,1875547,$103.10,$103.43,$102.035
08/30/2023,$102.56,1647032,$103.60,$104.00,$102.22
08/29/2023,$103.52,2089242,$101.36,$104.38,$101.24
08/28/2023,$101.59,1446002,$101.79,$102.6665,$100.955
08/25/2023,$100.85,1264218,$101.49,$102.08,$99.88
08/24/2023,$101.48,1548368,$101.83,$103.20,$100.82
08/23/2023,$101.62,1832691,$100.25,$101.66,$99.75
08/22/2023,$100.30,3079246,$104.53,$104.565,$100.08
08/21/2023,$104.39,1533376,$105.27,$105.30,$103.20
08/18/2023,$105.04,1517351,$103.81,$105.5041,$103.81
08/17/2023,$105.07,1822207,$105.40,$106.26,$104.47
08/16/2023,$104.92,1695958,$106.48,$106.90,$104.57
08/15/2023,$106.91,2625433,$107.44,$107.44,$105.63
08/14/2023,$109.16,2137700,$109.48,$109.615,$107.76
08/11/2023,$110.38,1606356,$110.00,$110.905,$109.00
08/10/2023,$110.54,1961314,$112.64,$113.16,$110.05
08/09/2023,$111.81,1919703,$114.08,$114.50,$111.76
08/08/2023,$114.59,2028258,$112.33,$114.80,$111.13
08/07/2023,$115.27,2420353,$114.10,$115.29,$113.91
08/04/2023,$113.38,2250728,$112.58,$114.605,$112.10
08/03/2023,$112.92,1955529,$112.81,$113.38,$111.62
